event_annotation	variant	template	genomic_start	genomic_end	transcriptomic_start	transcriptomic_end
mes	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21314549,21311627,21306882,21304427,21301171	21314681,21311758,21306988,21304573,21301269	1898,2031,2163,2270,2417	2030,2162,2269,2416,2515
es	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21319372	21319579	1548	1755
ir	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21275425	21292163	2328	19066
a3	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21395044	21395437	664	1057
a5	ENSG00000084453_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000084453_template	21293945	21295077	2903	4035
es	ENSG00000113648_es	ENSG00000113648_template	135399062	135399622	167	727
es	ENSG00000232855_es	ENSG00000232855_template	28626585	28626676	519	610
mes	ENSG00000232855_mes	ENSG00000232855_template	28485592,28482957,28446290,28439346	28485728,28483069,28446472,28444809	839,976,1089,1272	975,1088,1271,6735
ir	ENSG00000232855_ir	ENSG00000232855_template	28430413	28431104	8106	8797
ale	ENSG00000232855_ale	ENSG00000232855_template	28328738	28329794	8297	9353
ale	ENSG00000232855_template	ENSG00000232855_ale	28417075	28417158	8297	8380
mes	ENSG00000164879_mes	ENSG00000164879_template	85438858,85439712,85442073,85444034,85445156	85438943,85439909,85442433,85444126,85445218	316,402,600,961,1054	401,599,960,1053,1116
es	ENSG00000270087_es	ENSG00000270087_template	75280058	75280120	316	378
a5	ENSG00000270087_a5	ENSG00000270087_template	75401105	75401193	1	89
ale	ENSG00000197774_ale	ENSG00000197774_template	1776068	1781708	1476	7116
ale	ENSG00000197774_template	ENSG00000197774_ale	1775797	1775986	1476	1665
es	ENSG00000108641_es	ENSG00000108641_template	19347784	19347880	1444	1540
afe	ENSG00000108641_afe	ENSG00000108641_template	19377859	19378193	1	335
afe	ENSG00000108641_template	ENSG00000108641_afe	19372115	19372239	1	125
ale	ENSG00000108641_ale	ENSG00000108641_template	19334308	19334463	4868	5023
ale	ENSG00000108641_template	ENSG00000108641_ale	19334624	19337748	4868	7992
es	ENSG00000171954_es	ENSG00000171954_template	15537361	15537414	538	591
a3	ENSG00000171954_a3	ENSG00000171954_template	15551294	15552134	1589	2429
ir	ENSG00000184599_ir	ENSG00000184599_template	112720635	112722232	217	1814
ale	ENSG00000184599_ale	ENSG00000184599_template	112723945	112724137	483	675
ale	ENSG00000184599_template	ENSG00000184599_ale	112726629	112727235	483	1089
ir	ENSG00000197849_ir	ENSG00000197849_template	124247881	124249659	351	2129
a5	ENSG00000197849_a5	ENSG00000197849_template	124241315	124241364	1	50
es	ENSG00000092140_es	ENSG00000092140_template	30589383	30589484	395	496
mee	ENSG00000092140_mee	ENSG00000092140_template	30577756	30577846	172	262
mee	ENSG00000092140_template	ENSG00000092140_mee	30580864	30580947	172	255
afe	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30559310	30560842	1	1533
afe	ENSG00000092140_template	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	30559158	30559272	1	115
ale	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30615349	30615539	5672	5862
ale	ENSG00000092140_template	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	30616278	30620064	3718	7504
mee	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30577756	30577846	1590	1680
mee	ENSG00000092140_template	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	30580864	30580947	172	255
mes	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30597420,30598100,30598483,30601770,30601999	30597526,30598288,30598599,30601894,30602131	1220,1327,1516,1633,1758	1326,1515,1632,1757,1890
es	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30589383	30589484	395	496
ir	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30590964	30592322	2243	3601
a3	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30586718	30586726	297	305
a5	ENSG00000092140_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000092140_template	30592400	30592447	929	976
es	ENSG00000255240_es	ENSG00000255240_template	58958217	58958820	3643	4246
mes	ENSG00000255240_mes	ENSG00000255240_template	59048368,58994003,58979128	59051308,58994051,58979325	323,3264,3313	3263,3312,3510
afe	ENSG00000255240_afe	ENSG00000255240_template	59058372	59058659	1	288
afe	ENSG00000255240_template	ENSG00000255240_afe	59055295	59055446	1	152
es	ENSG00000183579_es	ENSG00000183579_template	29044780	29044890	946	1056
es	ENSG00000082068_es	ENSG00000082068_template	37443239	37443372	564	697
mee	ENSG00000082068_mee	ENSG00000082068_template	37396375	37396570	383	578
mee	ENSG00000082068_template	ENSG00000082068_mee	37392000	37392120	383	503
es	ENSG00000288271_es	ENSG00000288271_template	92822210	92822277	1018	1085
mee	ENSG00000288271_mee	ENSG00000288271_template	92883906	92884000	2104	2198
mee	ENSG00000288271_template	ENSG00000288271_mee	92884566	92884626	2104	2164
es	ENSG00000185862_es	ENSG00000185862_template	31307887	31307959	128	200
es	ENSG00000131055_es	ENSG00000131055_template	31639018	31639099	52	133
a3	ENSG00000131055_a3	ENSG00000131055_template	31643404	31643427	299	322
es	ENSG00000239975_es	ENSG00000239975_template	89914250	89914551	145	446
a3	ENSG00000168234_a3	ENSG00000168234_template	24114554	24114772	2384	2602
a5	ENSG00000168234_a5	ENSG00000168234_template	24016685	24016740	620	675
afe	ENSG00000168234_afe	ENSG00000168234_template	23992773	23993038	1	266
afe	ENSG00000168234_template	ENSG00000168234_afe	24014420	24015038	1	619
ale	ENSG00000204616_ale	ENSG00000204616_template	30103873	30104167	2332	2626
ale	ENSG00000204616_template	ENSG00000204616_ale	30102897	30103789	2332	3224
es	ENSG00000186118_es	ENSG00000186118_template	46671854	46671971	625	742
es	ENSG00000134242_es	ENSG00000134242_template	113829949	113830029	2577	2657
a3	ENSG00000113430_a3	ENSG00000113430_template	1881880	1882059	699	878
es	ENSG00000248107_es	ENSG00000248107_template	126191144	126191218	339	413
es	ENSG00000244310_es	ENSG00000244310_template	9115125	9115252	716	843
es	ENSG00000126785_es	ENSG00000126785_template	63283121	63283255	1317	1451
ir	ENSG00000116668_ir	ENSG00000116668_template	185157315	185157481	234	400
a5	ENSG00000116668_a5	ENSG00000116668_template	185160919	185160925	379	385
es	ENSG00000079841_es	ENSG00000079841_template	72392698	72392810	9786	9898
mes	ENSG00000079841_mes	ENSG00000079841_template	72260699,72264975,72265390,72265960,72274349,72284047,72290679,72291934	72264004,72265052,72265503,72266313,72274432,72284118,72290861,72292046	4468,7774,7852,7966,8320,8404,8476,8659	7773,7851,7965,8319,8403,8475,8658,8771
es	ENSG00000225526_es	ENSG00000225526_template	12539972	12540433	1194	1655
ir	ENSG00000179295_ir	ENSG00000179295_template	112482206	112486453	2030	6277
es	ENSG00000119913_es	ENSG00000119913_template	112299492	112299564	782	854
afe	ENSG00000119913_afe	ENSG00000119913_template	112283648	112283810	1	163
afe	ENSG00000119913_template	ENSG00000119913_afe	112283400	112283496	1	97
mee	ENSG00000119913_mee	ENSG00000119913_template	112293738	112293841	432	535
mee	ENSG00000119913_template	ENSG00000119913_mee	112286289	112286391	432	534
es	ENSG00000112981_es	ENSG00000112981_template	138127433	138127701	1272	1540
es	ENSG00000108424_es	ENSG00000108424_template	47671710	47671862	2596	2748
ir	ENSG00000108424_ir	ENSG00000108424_template	47650285	47650357	769	841
mee	ENSG00000108424_mee	ENSG00000108424_template	47661119	47661178	1574	1633
mee	ENSG00000108424_template	ENSG00000108424_mee	47662169	47662238	1574	1643
es	ENSG00000171159_es	ENSG00000171159_template	128162004	128162952	223	1171
ale	ENSG00000248710_ale	ENSG00000248710_template	160227454	160227722	2923	3191
ale	ENSG00000248710_template	ENSG00000248710_ale	160258467	160258635	2923	3091
es	ENSG00000270765_es	ENSG00000270765_template	35750077	35750318	414	655
es	ENSG00000164877_es	ENSG00000164877_template	1446657	1446828	1186	1357
ale	ENSG00000164877_ale	ENSG00000164877_template	1428465	1428791	7547	7873
ale	ENSG00000164877_template	ENSG00000164877_ale	1434210	1435147	7547	8484
es	ENSG00000257365_es	ENSG00000257365_template	65032359	65032521	1419	1581
mee	ENSG00000257365_mee	ENSG00000257365_template	65004249	65004313	204	268
mee	ENSG00000257365_template	ENSG00000257365_mee	64987215	64987562	204	551
es	ENSG00000204179_es	ENSG00000204179_template	46967957	46968047	1458	1548
afe	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46911781	46911842	1	62
afe	ENSG00000204179_template	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	46911396	46911501	1	106
ale	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	47000676	47002488	4090	5902
ale	ENSG00000204179_template	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	46999912	46999974	2439	2501
mee	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46925998	46926127	368	497
mee	ENSG00000204179_template	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	46932377	46932533	412	568
mes	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46946563,46947841,46955096	46946842,46947955,46955203	803,1083,1198	1082,1197,1305
es	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46967957	46968047	1458	1548
ir	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46984565	46987339	1099	3873
a3	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46984230	46984561	1888	2219
a5	ENSG00000204179_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000204179_template	46940591	46940717	569	695
es	ENSG00000005156_es	ENSG00000005156_template	34981481	34981557	631	707
a3	ENSG00000005156_a3	ENSG00000005156_template	35001909	35001996	5630	5717
a5	ENSG00000005156_a5	ENSG00000005156_template	34980542	34980622	1	81
es	ENSG00000175874_es	ENSG00000175874_template	101355253	101355366	1425	1538
a5	ENSG00000286438_a5	ENSG00000286438_template	133102621	133103098	1	478
es	ENSG00000136478_es	ENSG00000136478_template	64194895	64195095	2558	2758
mes	ENSG00000166444_mes	ENSG00000166444_template	8715463,8714610,8713998	8715830,8714706,8714042	9365,9733,9830	9732,9829,9874
mee	ENSG00000166444_mee	ENSG00000166444_template	8699857	8700012	10847	11002
mee	ENSG00000166444_template	ENSG00000166444_mee	8702570	8703611	10847	11888
es	ENSG00000243629_es	ENSG00000243629_template	157122876	157123004	191	319
ir	ENSG00000243629_ir	ENSG00000243629_template	157102093	157103357	442	1706
es	ENSG00000165115_es	ENSG00000165115_template	83883813	83884018	2692	2897
es	ENSG00000224216_es	ENSG00000224216_template	155347137	155348367	99	1329
es	ENSG00000049618_es	ENSG00000049618_template	157190038	157190210	31854	32026
mee	ENSG00000049618_mee	ENSG00000049618_template	157071182	157072575	16516	17909
mee	ENSG00000049618_template	ENSG00000049618_mee	157084662	157084905	16516	16759
afe	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	156776020	156776126	1	107
afe	ENSG00000049618_template	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	156776862	156779471	1	2610
ale	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157203658	157210779	51138	58259
ale	ENSG00000049618_template	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	157200705	157201488	35271	36054
mee	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157071182	157072575	13885	15278
mee	ENSG00000049618_template	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	157084662	157084905	16516	16759
mes	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157174847,157180969,157184231	157175840,157181178,157186620	28121,29115,29325	29114,29324,31714
es	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157190038	157190210	31854	32026
ir	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157111306	157133027	16113	37834
a3	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157140613	157141219	17774	18380
a5	ENSG00000049618_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000049618_template	157036394	157036521	16267	16394
es	ENSG00000158023_es	ENSG00000158023_template	121942895	121942975	3017	3097
ir	ENSG00000158023_ir	ENSG00000158023_template	121975335	121975541	11589	11795
es	ENSG00000268790_es	ENSG00000268790_template	16654035	16654125	131	221
mes	ENSG00000268790_mes	ENSG00000268790_template	16630468,16577746	16630559,16578409	388,480	479,1143
es	ENSG00000114098_es	ENSG00000114098_template	138237279	138237572	824	1117
a5	ENSG00000114098_a5	ENSG00000114098_template	138221938	138221997	430	489
ale	ENSG00000114098_ale	ENSG00000114098_template	138290546	138290639	6335	6428
ale	ENSG00000114098_template	ENSG00000114098_ale	138295859	138298384	6335	8860
afe	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138187776	138188530	1	755
afe	ENSG00000114098_template	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	138187248	138187599	1	352
ale	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138290546	138290639	14915	15008
ale	ENSG00000114098_template	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	138295859	138298384	6335	8860
mee	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138228918	138229051	13020	13153
mee	ENSG00000114098_template	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	138223636	138223733	645	742
mes	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138245088,138263511,138267155,138270040,138272967,138274449,138284431,138287632	138246887,138264212,138267241,138270132,138273116,138274544,138284526,138288014	2828,4628,5330,5417,5510,5660,5756,5852	4627,5329,5416,5509,5659,5755,5851,6234
es	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138237279	138237572	824	1117
ir	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138209894	138221925	833	12864
a3	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138241783	138241912	2627	2756
a5	ENSG00000114098_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000114098_template	138221938	138221997	430	489
es	ENSG00000246889_es	ENSG00000246889_template	70373410	70375620	579	2789
es	ENSG00000137269_es	ENSG00000137269_template	53913854	53913969	2727	2842
afe	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5016257	5016339	1	83
afe	ENSG00000127663_template	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	4969113	4969230	1	118
ale	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5151335	5153598	3526	5789
ale	ENSG00000127663_template	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	5150358	5150450	12057	12149
mee	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5135339	5135561	1988	2210
mee	ENSG00000127663_template	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	5137262	5137338	9883	9959
mes	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5047476,5070618,5074091,5080688,5082367,5110622,5111375,5111775,5119118,5119653,5131076,5131887	5047669,5071059,5079166,5080996,5082504,5110818,5111544,5113340,5119219,5119852,5131545,5132007	719,913,1355,6431,6740,6878,7075,7245,8811,8913,9113,9583	912,1354,6430,6739,6877,7074,7244,8810,8912,9112,9582,9703
es	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5137962	5138070	10016	10124
ir	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5040012	5041136	426	1550
a3	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5144248	5144286	11772	11810
a5	ENSG00000127663_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000127663_template	5140870	5141503	10334	10967
es	ENSG00000228620_es	ENSG00000228620_template	38424813	38424972	137	296
es	ENSG00000206028_es	ENSG00000206028_template	26669000	26669438	978	1416
ale	ENSG00000041880_ale	ENSG00000041880_template	51947625	51947895	2101	2371
ale	ENSG00000041880_template	ENSG00000041880_ale	51948311	51948867	2101	2657
es	ENSG00000171234_es	ENSG00000171234_template	69108103	69108322	742	961
mee	ENSG00000171234_mee	ENSG00000171234_template	69096474	69097241	241	1008
mee	ENSG00000171234_template	ENSG00000171234_mee	69089472	69089603	241	372
es	ENSG00000174990_es	ENSG00000174990_template	87891799	87892268	944	1413
a5	ENSG00000174990_a5	ENSG00000174990_template	87904786	87904831	558	603
es	ENSG00000198467_es	ENSG00000198467_template	35689146	35689271	354	479
mes	ENSG00000115307_mes	ENSG00000115307_template	74528751,74528417	74529499,74528489	182,931	930,1003
ir	ENSG00000115307_ir	ENSG00000115307_template	74526837	74526940	2264	2367
es	ENSG00000156509_es	ENSG00000156509_template	100134161	100134364	3073	3276
ir	ENSG00000154370_ir	ENSG00000154370_template	228405905	228406153	683	931
es	ENSG00000165309_es	ENSG00000165309_template	22955807	22955932	818	943
mes	ENSG00000165309_mes	ENSG00000165309_template	22998148,23001919,23003246	22998397,23002055,23003414	3694,3944,4081	3943,4080,4249
a3	ENSG00000165309_a3	ENSG00000165309_template	22959861	22960648	1189	1976
afe	ENSG00000165309_afe	ENSG00000165309_template	22931996	22932044	1	49
afe	ENSG00000165309_template	ENSG00000165309_afe	22928024	22928106	1	83
a3	ENSG00000198646_a3	ENSG00000198646_template	34746847	34746928	5364	5445
afe	ENSG00000198646_afe	ENSG00000198646_template	34825472	34825651	1	180
afe	ENSG00000198646_template	ENSG00000198646_afe	34819302	34821639	1	2338
es	ENSG00000230155_es	ENSG00000230155_template	35481133	35481251	128	246
a5	ENSG00000205777_a5	ENSG00000205777_template	49600752	49600844	304	396
ale	ENSG00000205777_ale	ENSG00000205777_template	49604998	49605140	551	693
ale	ENSG00000205777_template	ENSG00000205777_ale	49605993	49608536	551	3094
afe	ENSG00000096093_afe	ENSG00000096093_template	52362123	52362249	1	127
afe	ENSG00000096093_template	ENSG00000096093_afe	52413014	52413165	1	152
afe	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52362123	52362249	1	127
afe	ENSG00000096093_template	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	52413014	52413165	1	152
ale	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52524774	52525106	21497	21829
ale	ENSG00000096093_template	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	52529543	52529886	20120	20463
mee	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52482784	52484604	7720	9540
mee	ENSG00000096093_template	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	52481546	52482587	5674	6715
mes	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52421007,52423687,52423946,52428210	52421068,52423828,52424167,52428243	884,946,1088,1310	945,1087,1309,1343
es	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52515895	52517342	16814	18261
ir	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52465116	52468393	2759	6036
a3	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52479037	52479147	4960	5070
a5	ENSG00000096093_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000096093_template	52453652	52454287	2059	2694
es	ENSG00000181885_es	ENSG00000181885_template	7260642	7260726	1774	1858
ale	ENSG00000127324_ale	ENSG00000127324_template	71125085	71125387	2033	2335
ale	ENSG00000127324_template	ENSG00000127324_ale	71129331	71129414	2033	2116
es	ENSG00000160951_es	ENSG00000160951_template	14473379	14474337	94	1052
es	ENSG00000173702_es	ENSG00000173702_template	124940102	124940241	41	180
mes	ENSG00000173702_mes	ENSG00000173702_template	124920167,124916317,124913562,124913111,124912104	124920289,124916480,124913681,124913240,124912208	1090,1213,1377,1497,1627	1212,1376,1496,1626,1731
a3	ENSG00000173702_a3	ENSG00000173702_template	124923641	124923649	860	868
a5	ENSG00000173702_a5	ENSG00000173702_template	124923527	124923559	860	892
ale	ENSG00000173702_ale	ENSG00000173702_template	124908147	124908348	1817	2018
ale	ENSG00000173702_template	ENSG00000173702_ale	124905442	124906742	1817	3117
mee	ENSG00000173702_mee	ENSG00000173702_template	124938153	124938332	307	486
mee	ENSG00000173702_template	ENSG00000173702_mee	124934661	124934751	307	397
es	ENSG00000112983_es	ENSG00000112983_template	138149640	138149797	6073	6230
mes	ENSG00000112983_mes	ENSG00000112983_template	138169222,138168470,138167643,138166518,138165828,138164714,138164320,138164087,138163587,138163130,138161796,138160891,138160069,138159555,138157642,138156882	138169358,138168688,138168078,138166945,138166225,138165166,138164413,138164133,138163643,138163344,138162146,138161235,138160173,138159599,138157894,138157267	1561,1698,1917,2353,2781,3179,3632,3726,3773,3830,4045,4396,4741,4846,4891,5144	1697,1916,2352,2780,3178,3631,3725,3772,3829,4044,4395,4740,4845,4890,5143,5529
mee	ENSG00000146909_mee	ENSG00000146909_template	156963008	156964235	2100	3327
mee	ENSG00000146909_template	ENSG00000146909_mee	156966159	156966402	2100	2343
a5	ENSG00000169432_a5	ENSG00000169432_template	166280357	166280358	4467	4468
mee	ENSG00000169432_mee	ENSG00000169432_template	166288437	166288643	3677	3883
mee	ENSG00000169432_template	ENSG00000169432_mee	166286336	166286623	3677	3964
mee	ENSG00000188219_mee	ENSG00000188219_template	131230836	131230906	1284	1354
mee	ENSG00000188219_template	ENSG00000188219_mee	131228244	131228381	1284	1421
ir	ENSG00000229015_ir	ENSG00000229015_template	135396462	135397392	34	964
ale	ENSG00000125844_ale	ENSG00000125844_template	17613678	17614220	5991	6533
ale	ENSG00000125844_template	ENSG00000125844_ale	17614737	17614880	5991	6134
afe	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17682028	17682295	1	268
afe	ENSG00000125844_template	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	17679999	17680075	1	77
ale	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17613678	17614220	3862	4404
ale	ENSG00000125844_template	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	17614737	17614880	5991	6134
mee	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17627348	17627382	3157	3191
mee	ENSG00000125844_template	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	17627504	17627682	3200	3378
mes	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17624576,17622848,17621855,17621690,17621458,17620715,17620299,17618596,17616732	17624668,17623330,17621947,17621773,17621547,17620807,17620370,17619817,17616839	3470,3563,4046,4139,4223,4313,4406,4478,5700	3562,4045,4138,4222,4312,4405,4477,5699,5807
es	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17635546	17635664	2788	2906
ir	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17615530	17615925	3367	3762
a3	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17643029	17643127	2011	2109
a5	ENSG00000125844_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000125844_template	17641445	17641460	2160	2175
es	ENSG00000124784_es	ENSG00000124784_template	7398698	7398740	680	722
es	ENSG00000139044_es	ENSG00000139044_template	544882	544972	1021	1111
es	ENSG00000272162_es	ENSG00000272162_template	10910824	10910869	1029	1074
afe	ENSG00000272162_afe	ENSG00000272162_template	10749202	10749268	1	67
afe	ENSG00000272162_template	ENSG00000272162_afe	10747794	10747881	1	88
es	ENSG00000132932_es	ENSG00000132932_template	25577069	25577138	2158	2227
mes	ENSG00000132932_mes	ENSG00000132932_template	25534181,25537988,25540319,25541919	25534225,25538061,25540388,25542046	602,647,721,791	646,720,790,918
a5	ENSG00000132932_a5	ENSG00000132932_template	25570862	25570872	1837	1847
afe	ENSG00000132932_afe	ENSG00000132932_template	25468977	25469121	1	145
afe	ENSG00000132932_template	ENSG00000132932_afe	25371974	25372288	1	315
es	ENSG00000099991_es	ENSG00000099991_template	24166639	24167313	6334	7008
afe	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24011416	24011728	1	313
afe	ENSG00000099991_template	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	24011192	24011367	1	176
ale	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24177504	24177817	4100	4413
ale	ENSG00000099991_template	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	24178053	24178628	7903	8478
mee	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24171713	24171995	3320	3602
mee	ENSG00000099991_template	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	24173077	24173398	7084	7405
mes	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24041139,24042904,24049091,24050825,24054873,24056192,24059227,24059924,24061947,24062959,24064035,24066987,24070800,24072354,24076169,24083228,24084579,24085006,24087452,24091583,24095931,24098014,24113566,24119367,24134302,24155838,24156533	24041273,24043084,24049220,24050974,24055159,24056525,24059363,24060141,24062025,24063146,24064187,24067181,24071183,24072510,24076284,24083389,24084785,24085151,24087713,24092013,24096082,24098282,24113748,24119698,24134415,24156076,24156576	461,596,777,907,1057,1344,1678,1815,2033,2112,2300,2453,2648,3032,3189,3305,3467,3674,3820,4082,4513,4665,4934,5117,5449,5563,5802	595,776,906,1056,1343,1677,1814,2032,2111,2299,2452,2647,3031,3188,3304,3466,3673,3819,4081,4512,4664,4933,5116,5448,5562,5801,5845
es	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24166639	24167313	6334	7008
ir	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24162216	24164399	800	2983
a3	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24036089	24036108	254	273
a5	ENSG00000099991_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000099991_template	24036177	24036181	254	258
afe	ENSG00000106665_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000106665_template	74289407	74289734	1	328
afe	ENSG00000106665_template	ENSG00000106665_ale,afe,mee,ir,mes,a3,es,a5	74317480	74317667	1	188
ale	ENSG00000106665_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000106665_template	74403837	74405935	18800	20898
ale	ENSG00000106665_template	ENSG00000106665_ale,afe,mee,ir,mes,a3,es,a5	74401505	74401567	3868	3930
mee	ENSG00000106665_ale,afe,mee,ir,mes,a3,es,a5	ENSG00000106665_template	74380024	74381041	16830	17847
mee	ENSG00000106665_template	ENSG00000106665_ale,afe,mee,ir,mes,a3,es,a5	74381582	74381630	2489	2537
